address,name,type,comment,source
0x0000a904,veh_ref_speed_calc,FUNCTION,"Wheel-speed -> vehicle reference-speed processor. Computes ref speed (0.125 km/h/bit) from 4 wheel speeds (median/avg), clamps to +-0x7ff. HARDCODES the 15 km/h ACC/ECD speed gate: @0xd1bc/0xd1c8 cmp Rn,#0x78 (=120=15.0 km/h) with 25 km/h engage (0xc8) hysteresis, driving flag_speed_status bit2.",re-trace
0x00005bfc,can_tx_scheduler,FUNCTION,"CAN TX scheduler: iterates message-object descriptors and calls can_tx_dispatch per message.",re-trace
0x000a2428,arm_thumb_call_veneer,FUNCTION,"ARM<->Thumb interworking call veneer (mov r12,r4; bx r12) — NOT the CAN packer. Generic __gnu-style veneer.",re-trace
0x00006b00,com_signal_compose,FUNCTION,"Generic COM composer: unpacks internal status words into per-signal RAM bytes incl the ESP_05 signal bytes esp05_sig_* (0x405e81-98). Table/pointer driven.",re-trace
0x0000525c,esp_msg_pack_525c,FUNCTION,"Reads ESP_05 signal bytes 0x405e89-96; computes derived availability signals + packs/transmits.",re-trace
0x00003458,esp_msg_pack_3458,FUNCTION,"Reads ESP_05 signal bytes 0x405e82/84/85/86 (low signals).",re-trace
0x0005b38c,status_assembler_5b38c,FUNCTION,"Consumer of flag_speed_status (0x403f9e); status/availability assembly.",re-trace
0x00064ce4,status_consumer_64ce4,FUNCTION,"Reads flag_speed_status (0x403f9e).",re-trace
0x000474bc,status_assembler_474bc,FUNCTION,"Reads flag_speed_status (0x403f9e); assembles a status byte from many flags.",re-trace
0x00403ec2,veh_motion_struct,LABEL,"Vehicle-motion struct base (DAT_0000a88c/a890 group). +0x76 = veh_ref_speed (0.125 km/h).",re-trace
0x00403f38,veh_ref_speed,LABEL,"Vehicle reference speed, signed, 0.125 km/h/bit (veh_motion_struct+0x76). Written by veh_ref_speed_calc.",re-trace
0x00403f9e,flag_speed_status,LABEL,"Vehicle-speed status flag byte (DAT_0000a890). bit2 = speed-above-threshold hysteresis: SET >25 km/h (0xc8), CLEAR <15 km/h (0x78). Set/cleared in veh_ref_speed_calc @0xd1ac/0xd1b4/0xd238.",re-trace
0x00400830,wheel_speed_0,LABEL,"Wheel speed array 0 (DAT_0000a8c0 base; +0x2a0 = validity word, bit23).",re-trace
0x00401418,wheel_speed_1,LABEL,Wheel speed array 1 (DAT_0000a8bc).,re-trace
0x00401a0c,wheel_speed_2,LABEL,Wheel speed array 2 (DAT_0000a8b8).,re-trace
0x00400e24,wheel_speed_3,LABEL,Wheel speed array 3 (DAT_0000a8b4).,re-trace
0x00405e81,esp05_sig_base,LABEL,"ESP_05 (CAN 0x106) per-signal storage base (0x405e81-0x405e98). ECD_nicht_verfuegbar=byte4 bit1. Written by com_signal_compose.",re-trace
0x000b33cc,can_msgtab_esp05_group,LABEL,"CAN message->descriptor table group containing {id=0x106,ptr=0x86ab} (ESP_05).",re-trace
0x000afae0,can_id_array,LABEL,"Flat u32 array of all CAN message IDs the ESP handles (message-index -> id). 0x106 @0xafb08.",re-trace
0x000a6c8,esp05_status_route_a6c8,FUNCTION,"Wrapper -> FUN_0009c8c0 generic COM copy; routes app status into the ESP_05 status source struct esp05_status_src (0x405f68).",re-trace
0x0009c8c0,com_signal_route_copy,FUNCTION,"Generic COM signal copy/route (dest,src,len). Populates signal buffers from application status vars.",re-trace
0x00405f68,esp05_status_src,LABEL,"ESP_05 byte4-status SOURCE struct. com_signal_compose reads +0..+6 (0x405f68-6e) and unpacks bits into esp05 sig bytes. +5 (0x405f6d) bit4 -> esp05 sig 0x405e90.",re-trace
0x00405e90,esp05_sig_0x405e90,LABEL,"ESP_05 signal byte = bit4 of esp05_status_src+5 (0x405f6d). Candidate ECD_nicht_verfuegbar (byte4 bit1) — NOT byte-level confirmed (pack bit-map undecoded).",re-trace
0x000844fc,ecd_speed_gate,FUNCTION,"THE 15 km/h ECD gate (drives ECD_nicht_verfuegbar). Reads axle_speed_front(0x4022a2)+axle_speed_rear(0x402482) in 0.125 km/h/bit. Guard: if esp_ctrl_status.bit12 clear (or the substate/fault guards fail) -> clear flag_ecd_speed_avail immediately. Else: when BOTH speeds < 0x78 (=15.0 km/h; cmp @0x845fc/0x84608), count ecd_avail_debounce down from 0x1e(30) then CLEAR flag_ecd_speed_avail bit6; when either >= 0x78, reload debounce and keep the flag. ROUTE MAPPING: this is what makes ECD_nicht_verfuegbar flip 0->1 at exactly 15.0-15.2 km/h -> both the ~2s cutoff (car decelerates through 15) and the non-engagement (request arrives already <15).",re-trace
0x00403da9,flag_ecd_speed_avail,LABEL,"ECD speed-available flag byte. bit6 (0x40) = vehicle speed >= 15 km/h (clean threshold w/ ~30-cycle debounce, NO 25 km/h hysteresis). Written by ecd_speed_gate (0x844fc); gates ecd_decel_pressure_calc (0x6de38).",re-trace
0x0006de38,ecd_decel_pressure_calc,FUNCTION,"Comfort-ECD (mode-2) pressure executor. Sets ecd_ctrl_struct(0x403a14) phase timing {0x14,5,3,7}; loads a default ramp 300/300/500/0x834/0xc80/8000 into ecd_setpoint_struct(0x403d8c)+8..+0x12. THE GATE: `if ((*flag_ecd_speed_avail & 0x40)==0)` (speed<15 km/h) -> ZEROS setpoints +8/+0xa/+0xc/+0x14 => comfort braking releases below 15. Else looks up ecd_pressure_curve(0xaeb60) via interp_lookup indexed by ecd_decel_request_mag(0x403a7c), applies a 500-unit floor when ecd_decel_reference < -0x8d, and peak-tracks the 6 setpoints. This is the ONLY reader of flag_ecd_speed_avail -> the mode-4 ANB executor is NOT gated here.",re-trace
0x004022a2,axle_speed_a,LABEL,"Axle/wheel speed A (signed 0.125 km/h/bit) compared to 0x78=15km/h in ecd_speed_gate.",re-trace
0x00402482,axle_speed_b,LABEL,"Axle/wheel speed B (signed 0.125 km/h/bit) compared to 0x78=15km/h in ecd_speed_gate.",re-trace
0x0007f4ec,decel_req_preprocess,FUNCTION,"Decel-request input stage: for each of 4 sources, extrapolates value between CAN frames: out = raw - (staleness*gradient)>>2 (staleness=3-(ctr&3)). Comfort src (type2) is a DIRECT copy (no extrapolation). Writes 0x405a90/94/a0/ac.",re-trace
0x00086798,decel_req_assemble,FUNCTION,"Assembles up to 4 typed decel requests into the arbitration array (12B each). type=1/2/4/5; each gated by state_byte==0x10 (0x405dcd) + enable bit 0x80. Type2 carries extra fields (comfort ECD).",re-trace
0x00094a70,decel_req_arbitrate,FUNCTION,"Decel arbitrator (MAX-wins). Scans the typed request array twice: primary max on field+0 -> decel_arb_output+0x10, secondary max on field+8 (raw values) -> +0x12. Writes the winning request TYPE byte straight to ecd_mode (0x405aba) -- so type==mode (type4=emergency, type2=comfort). SECONDARY-PREEMPT: when (decel_frame_counter&3)==0 and the secondary winning type changed, sets flag +0x3b bit0x20 and overrides the primary with the secondary (raw) request. Highest deceleration always wins regardless of source.",re-trace
0x0009b7b4,decel_ctrl_top,FUNCTION,"Top deceleration controller: count=decel_req_assemble(); decel_req_arbitrate(); clamp result to [min,0x3ffe].",re-trace
0x000633fc,ecd_state_machine,FUNCTION,"ECD/brake control state machine. Dispatches on ecd_mode (0x405aba) + substate (0x403e2a): mode2/sub2 -> ecd_decel_pressure_calc (smooth); mode4 -> FUN_000a15d0->ecd_emergency_pressure (flat); other substates set fixed pressure profiles/ramps. Calls ecd_speed_gate first.",re-trace
0x0009c788,ecd_emergency_pressure,FUNCTION,"EMERGENCY/mode-4 pressure handler (ACC_10/ANB-class). Sets ALL 6 pressure setpoints to the SAME requested value (FLAT step, no ramp) + fixed timing {0x14,10,3,7}. Does NOT check flag_ecd_speed_avail -> works below 15 km/h but ROUGH (bang-bang vs the comfort ramp).",re-trace
0x00405aba,ecd_mode,LABEL,"ECD control mode = winning decel-request type (1/2/4/5) from decel_req_arbitrate. Selects smooth-comfort vs flat-emergency pressure in ecd_state_machine.",re-trace
0x00405a90,decel_req_array,LABEL,"Arbitration input: 4 preprocessed decel requests (type1@+0,type2/comfort@+4,type4@+0x10,type5@+0x1c). Written by decel_req_preprocess.",re-trace
